Country Code,Country,SDG Region,Sub-region,UNDP Region,Task Force Name,Description of Task Force,Type,Sector,Sector 2,#Men,#Women,Total,%Women,Leader Gender,Woman Leader,Composition Data,Composition Classification,Sources
ARM,Armenia,Asia,Western Asia,ECIS,IT Working Group for Modelling Spread of Coronavirus (unofficial name),"The IT Working Group for Modelling the Spread of Coronavirus was established by the Minister of High Technological Industry to collect and analyze data on COVID-19 in order to better anticipate the spread of the virus. The group has 12 leaders, and their main goal is utilizing state-of-the-art techniques for mapping information, such as outbreaks, human movements, and distribution zones which could provide support for public health infrastructure. ",Expert,Public Health,Public Health,12,0,12,0.00,,Missing,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549; 
https://www.gov.am/am/news/item/14148/;
https://www.gov.am/en/news/item/9752/ "
BEN,Benin,Africa,Sub-Saharan Africa,Africa,Interdepartmental Committee (Comité Interministériel),"The Interdepartmental Committee comprises the heads of existing committees, including the Minister of Health, the Minister of Foreign Affairs and Cooperation, the Minister of the Interior and Public Security and the Minister of Infrastructure and Transport. The Committee is tasked with coordination of the response to COVID-19 in surveillance, prevention, laboratory testing, treatment, communication, and ensuring infrastructure is provided and utilized.",Decision-Making,Multi-Sectoral,Multi-Sectoral,4,0,4,0.00,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549;
https://www.gouv.bj/actualite/529/coronavirus-point-des-mesures-prises-par-le-gouvernement/"
BWA,Botswana,Africa,Sub-Saharan Africa,Africa,Presidential COVID-19 Task Force Team,"The Presidential COVID-19 Task Force Team was established by the President and is comprised of a Coordinator who is an expert in International Infectious disease, and 3 government officials; Deputy Coordinator, Director of Health Services, and the Scientific Advisor. Its primary focus is to coordinate Botswana's response to COVID-19, the main focus is on prevention, preparedness, recovery and continuity of the health system. The Task Force Team works also with the assistant provided by WHO to member states in order to strengthen their capacities to prevent, detect and confirm the risks associated with COVID-19. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,4,0,4,0.00,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549; 
https://apps.who.int/gb/statements/WHA73/PDF/Botswana.pdf; 
https://news.thevoicebw.com/2020/04/meet-the-all-men-covid-19-task-force-team/;
https://m.facebook.com/story.php?story_fbid=3462613410429855&id=320471747977386"
BDI,Burundi,Africa,Sub-Saharan Africa,Africa,Burundian Committee for COVID-19 Response,"The Burundian Committee for COVID-19 response is placed under the authority of the President. Tasks include proposing measures to prevent, limit and fight against the spread of COVID-19, assessing the situation throughout the country, and informing the population about the evolution of the pandemic. It is comprised of government representatives, and various ministries.",Decision-Making,Multi-Sectoral,Multi-Sectoral,11,0,11,0.00,Man,No,Yes,Majority Men,https://www.presidence.gov.bi/wp-content/uploads/2020/10/De%CC%81cret-N100-088-du-22-Octobre-2020.pdf
CHL,Chile,Americas,Latin America and the Caribbean,LAC,Interministerial Advisory Committee for the Availability of a Covid-19 Vaccine (Comité Asesor Interministerial para la disponibilidad de una Vacuna Covid-19),"The Interministerial Advisory Committee for the availability of a COVID-19 Vaccine was established, and is also chaired, by the Minister of Science, Technology, Knowledge and Innovation. The aim of the Committee is to advise the President of the Republic on the planning, coordinating and implementation of necessary measures to ensure the availability of a COVID-19 vaccine. Other members of the Committee include the Ministers of Health and the Minister of Foreign Affairs. The Committee may invite to participate in its meetings, with the right to speak only, other Secretaries of State, government officials or persons of recognized experience in the field of science, public health or other related disciplines if deemed appropriate. The Undersecretariat of Science, Technology, Knowledge and Innovation provides technical and administrative support. ",Decision-Making,Public Health,Public Health,3,0,3,0.00,Man,No,Yes,Majority Men,"https://www.diariooficial.interior.gob.cl/publicaciones/2020/07/09/42701/01/1782640.pdf; 
https://latinlawyer.com/article/1224893/chile-COVID-19-information-hub; "
CZE,Czechia,Europe,Eastern Europe,OECD,Government Council on Health Risks (Rada vlády pro zdravotní rizika),"On 27 July 2020, the Government Council for Health Risks was established by the Government. The Council is chaired by the Prime Minister and includes government ministers, the Chairperson of the Association of Regions and a representative of health insurance companies. The establishment of the Government Council is a consequence of the COVID-19 pandemic, however it will also act in case of other pandemics or health risks. The task of the Government Council is to coordinate the strategic approach to health threats, support and supervise the activities of the Integrated Central Management Team.",Decision-Making,Multi-Sectoral,Multi-Sectoral,8,0,8,0.00,Man,No,Yes,Majority Men,"https://www.vlada.cz/cz/ppov/rada_vlady_pro_zdravotni_rizika/uvodni-text-rada-vlady-pro-zdravotni-rizika-183146/; 
https://www-vlada-cz.translate.goog/cz/ppov/Rada_vlady_pro_zdravotni_rizika/clenove/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=nl&_x_tr_pto=ajax,se,elem"
FJI,Fiji,Oceania,Melanesia,Asia Pacific,COVID-19 Risk Mitigation Taskforce (CRMT),"In June 2020, the Government of Fiji formed the COVID-19 Risk Mitigation Taskforce (CRMT), composed of the Permanent Secretary for Economy, the Permanent Secretary for Health and Medical Services, and the Permanent Secretary for Commerce, Trade, Tourism and Transport. Apart from the permanent members, the Taskforce also includes “co-opted members” representing the departments of immigration, incident management, and military forces surveillance. The main purpose of the Taskforce is to take a ""whole-of-government approach"" in order to address the immediate effects of COVID-19 as well as the impacts that stretch far beyond the health sector.",Decision-Making,Multi-Sectoral,Multi-Sectoral,3,0,3,0.00,Man,No,Yes,Majority Men,"https://www.fiji.gov.fj/Media-Centre/Speeches/ACTING-PS-HEALTH-STATEMENT-COVID-19-RISK-MITIGATIO; 
https://www.fbcnews.com.fj/news/COVID-19/COVID-risk-mitigation-taskforce-established/"
GGY,Guernsey,Europe,Northern Europe,OECD,Pandemic Emergency Committee ,"The Policy and Finance Committee of Alderney, an island of Guernsey, established the Pandemic Emergency Committee in April 2020. The Committee mandate is to explore solutions and engage with the public to work on policies that could be part of COVID-19 response, which includes the re-evaluating the risks of mental health and wellbeing. The Committee aims to ensure that decisions affecting Alderney are brought up to colleagues in Guernsey. Decisions made by the Pandemic Emergency Committee are approved by the Policy and Finance Committee before being submitted to other government agencies. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,5,0,5,0.00,,Missing,Yes,Majority Men,"http://www.alderney.gov.gg/article/177187/Press-Release---Pandemic-Emergency-Committee-230420;
http://www.alderney.gov.gg/CHttpHandler.ashx?id=125458&p=0"
VAT,Holy See,Europe,Southern Europe,OECD,Vatican COVID-19 Commission (Commissione vaticana COVID-19),"On March 20, 2020, Pope Francis asked the Dicastery for Promoting Integral Human Development (DPIHD) to create the Vatican COVID-19 Commission, in collaboration with other Dicasteries of the Roman Curia and other organizations, to address the pandemic. The Pope entrusted the Commission with two main tasks: offer promptly, attentively and timely support for the COVID-19 crisis, putting actions in place to support local Churches, to save lives and help the poor; and prepare for the aftermath of the pandemic, addressing its economic and social consequences, as well as proposing relevant approaches. To accomplish its mission, the Commission set up five working groups which are coordinated by a Directorate. The Directorate includes the DPIHD's Prefect, its Secretary, and the Adjunct Secretary.",Decision-Making,Multi-Sectoral,Multi-Sectoral,3,0,3,0.00,Man,No,Yes,Majority Men,"https://www.humandevelopment.va/en/vatican-covid-19.html; 
https://www.vaticannews.va/en/vatican-city/news/2020-04/turkson-think-covid19-aftermath-to-not-be-unprepared.html"
IMN,Isle of Man,Europe,Northern Europe,OECD,Economic Recovery Group,"The Economic Recovery Group is tasked with assessing the impact of COVID-19 on the Manx economy in order to protect jobs, secure investment and encourage growth as part of the Isle of Man’s financial fightback from coronavirus. It is chaired by the Treasury Minister and the Minister for Enterprise, and is overseeing projects to create jobs to meet the challenge of high unemployment, increase local spending, and accelerate infrastructure projects.",Decision-Making,Economic,Multi-Sectoral,5,0,5,0.00,Man,No,Yes,Majority Men,"https://www.manxradio.com/news/isle-of-man-news/details-on-economic-recovery-group-promised-shortly/;
https://COVID19.gov.im/economic-recovery/economic-recovery-programme-faqs/;
https://covid19.gov.im/economic-recovery/about-the-economic-recovery-programme/"
