Country Code,Country Name,Region,Subregion,Policy Measure Category,Policy Measure Type,Policy Measure Sub-Type,Policy Measure Description,Source,Addresses VAWG,Targets Women's Economic Security,Directly supports unpaid care,Gender Sensitive,Environmental relevance,Positive for environment,Gender-Green Nexus
SRB,Serbia,Europe,Southern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"In early November 2020, the authorities announced that public-sector health workers will receive a one-off assistance of RSD 10,000 by the end of the year (estimated cost of about 0.02 percent of GDP). In Serbia, women comprise around 76% of the health care workers","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-3235;
https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19",NO,YES,NO,YES,NO,NO,NO
SVK,Slovakia,Europe,Eastern Europe,Labour market,Labor regulatory adjustment,Not specific,Empoyees who cannot go to work because they have take care of a sick family member or child during due to quarantine or isolation oblgations cannot have their employment relationship terminated. This measure supports unpaid care by offering job protection to workers with care responsibilities.,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-3318,NO,NO,YES,YES,NO,NO,NO
ESP,Spain,Europe,Southern Europe,Labour market,Reduced work time & telework,Not specific,"Given that an estimated 100,000 workers face temporary layoffs as a result of the halt in economic activity, the Government has introduced measures to ease the conditions of the temporary collective layoffs (known as ERTEs - temporary contract suspension and temporary reduction of working hour - in Spain). The following are measures concern all economic activities affected by the COVID related interventions: Allows workers to adapt and reduce their working hours, by as much as 100% if necessary, if they need to provide care to dependents. ",http://documents1.worldbank.org/curated/en/467521607723220511/pdf/Social-Protection-and-Jobs-Responses-to-COVID-19-A-Real-Time-Review-of-Country-Measures-December-11-2020.pdf,NO,NO,YES,YES,NO,NO,NO
ESP,Spain,Europe,Southern Europe,Labour market,Reduced work time & telework,Not specific,"During the state of alarm (14 March to 21 June 2020) parents and carers had the same leave rights as before, though conciliation rights were extended. In particular, employed and self-employed pregnant women and mothers breastfeeding babies less than nine months old could ask for a change in their working conditions, and if this was not possible they could ask for a specific leave. ",https://wbl.worldbank.org/en/wbl-data Dates: https://www.leavenetwork.org/fileadmin/user_upload/k_leavenetwork/country_notes/2020/PMedited.Spain.with_supplement.1sept2020.pdf,NO,NO,YES,YES,NO,NO,NO
ESP,Spain,Europe,Southern Europe,Labour market,Reduced work time & telework,Not specific,Temporary 100% reduction of working hours available to those providing care for dependents. ,"https://www.rtve.es/noticias/20200317/gobierno-permitira-adaptar-reducir-jornada-laboral-aquellos-trabajadores-cuiden-otras-personas/2010212.shtml; 
https://www.lexology.com/library/detail.aspx?g=177aae39-e8f4-4916-912c-5d5f758f1367 Dates: https://www.boe.es/boe/dias/2020/03/18/pdfs/BOE-A-2020-3824.pdf ; 
https://www.osborneclarke.com/insights/covid-19-employment-measures-spain/",NO,NO,YES,YES,NO,NO,NO
RUS,Russian Federation,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"Moscow key measures: i) 8% interest loans to the priority sectors’ SMEs incorporated less than 3 years ago; ii) subsidies to the SMEs exporters, franchisees; iii) partial compensation of expenses for purchase of new equipment (SMEs – hotels and residents of Moscow innovation cluster); iv) partial compensation (up to 700,000 RUB until 31 December 2020) to SMEs for promotion of their commodities and services on online markets; for payment of services of online food delivery services. Accommodation and food service activities employ 2.7 more women than men in the Russian Federation.",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
SVN,Slovenia,Europe,Southern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"SA. 57782 Sub-measure 2: One of three sub-measures in a policy response package aimed at improving liquidity in SMEs. Sub-measure 2 comes in the form of zero interest loans and is offered to SMEs with up to 49 employees that perform the following activities: hotels and accommodation, holiday and short term accommodation, camping grounds and recreational vehicle park, food and beverage services activities, travel agency, tour operator and other reservation service, organization of conventions and trade shows, creative, arts, and entertainment activities and interurban and other passenger road transport.  It is administered by the ""Slovene enterprise fund” and by the “Slovene regional development fund”. It has a total budget of 55 million EUR given as zero interest loans. These loans start at 5,000 EUR and can go up to 50,000 EUR limited up to five years and possible moratorium of six months. Tourism activities (Accommodation and food services) employ 1.6 more women than men in Slovenia.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://ec.europa.eu/competition/state_aid/cases1/202034/286809_2182013_79_2.pdf",NO,YES,NO,YES,YES,NO,NO
ALB,Albania,Europe,Southern Europe,Labour market,Labor regulatory adjustment,Not specific,The 2021 budget adopted by parliament on November 16th 2020 Lek 4.5 billion for wage increases for doctors and nurses.,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2033,NO,YES,NO,YES,NO,NO,NO
CZE,Czechia,Europe,Eastern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"On March 31, 2020, the government approved a proposal to modify the Antivirus Employment Protection Program, designed to help businesses protect jobs. The state Labor Office will compensate companies for wage funds paid out. Employers whose economic activity are at risk due to the pandemic will be granted a contribution to pay, in whole or in part, wage compensation to employees unable to work due to quarantine, business closure, supply shortages, or childcare responsibilities, among others, in the context of COVID-19. The amount of compensation paid to employers depends on the reasons why employees are unable to work. The program was subsequently extended until the end of February 2021.

","http://documents1.worldbank.org/curated/en/467521607723220511/pdf/Social-Protection-and-Jobs-Responses-to-COVID-19-A-Real-Time-Review-of-Country-Measures-December-11-2020.pdf;
https://home.kpmg/us/en/home/insights/2021/01/tnf-czech-republic-new-and-extended-programs-to-support-employers-employees-covid-19.html",NO,NO,YES,YES,NO,NO,NO
BGR,Bulgaria,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"SA 59990 On 21 December, the Commission approved a 26 million EUR Bulgarian scheme to support tour operators and travel agents in the context of the coronavirus outbreak. ",https://som.yale.edu/node/222278; https://ec.europa.eu/competition/elojade/isef/case_details.cfm?proc_code=3_SA_59990,NO,YES,NO,YES,YES,NO,NO
